,Andaman & Nicobar [AN],Andhra Pradesh [AP],Arunachal Pradesh [AR],Assam [AS],Bihar [BH],Chandigarh [CH],Chhattisgarh [CG],Dadra & Nagar Haveli [DN],Daman & Diu [DD],Delhi [DL],Goa [GO],Gujarat [GU],Haryana [HR],Himachal Pradesh [HP],Jammu & Kashmir [JK],Jharkhand [JH],Karnataka [KR],Kerala [KL],Lakshadweep [LD],Madhya Pradesh [MP],Maharashtra [MH],Manipur [MN],Meghalaya [ML],Mizoram [MM],Nagaland [NL],Orissa [OR],Pondicherry [PC],Punjab [PJ],Rajasthan [RJ],Sikkim [SK],Tamil Nadu [TN],Tripura [TR],Uttar Pradesh [UP],Uttaranchal [UT],West Bengal [WB]
252,,,,,,,,,,,,,,,,,,,,,Shirol ,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,Shirpur ,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,Shirur ,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,Shirwal ,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,Sholapur ,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,Shri Rampur ,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,Shrigonda ,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,Shrivardhan ,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,Sillod ,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,Sinderwahi ,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,Sindhudurg ,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,Sindkheda ,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,Sindkhedaraja ,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,Sinnar ,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,Sironcha ,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,Soyegaon ,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,Surgena ,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,Talasari ,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,Talegaon S.Ji Pant ,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,Taloda ,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,Tasgaon ,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,Thane ,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,Tirora ,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,Tiwasa ,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,Trimbak ,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,Tuljapur ,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,Tumsar ,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,Udgir ,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,Umarkhed ,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,Umrane ,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,Umrer ,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,Urlikanchan ,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,Vaduj ,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,Velhe ,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,Vengurla ,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,Vijapur ,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,,Vita ,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,,Wada ,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,Wai ,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,Walchandnagar ,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,,Wani ,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,Wardha ,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,,Warlydwarud ,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,Warora ,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,,Washim ,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,Wathar ,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,,Yavatmal ,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,Yawal ,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,Yeola ,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,,Yeotmal ,,,,,,,,,,,,,,
